coluna,tipo,num_nulos,num_unicos,amostra_1,amostra_nativa
data,datetime64[ns],0,333,2019-02-01,"[{""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""67"", ""PR_CAT"": ""BEBIDAS"", ""PR_NOME"": ""REFRIGERANTE GUARANA"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""70"", ""PR_CAT"": ""BEBIDAS"", ""PR_NOME"": ""REFRIGERANTE OUTROS"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""178"", ""PR_CAT"": ""HIGIENE"", ""PR_NOME"": ""LENCO UMEDECIDO"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""4"", ""PR_CAT"": ""ALIMENTOS"", ""PR_NOME"": ""ABACAXI"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""175"", ""PR_CAT"": ""LIMPEZA"", ""PR_NOME"": ""LIMPADOR MULTIUSO"", """": """"}]"
co_id,int64,0,18471,1000,"[{""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""67"", ""PR_CAT"": ""BEBIDAS"", ""PR_NOME"": ""REFRIGERANTE GUARANA"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""70"", ""PR_CAT"": ""BEBIDAS"", ""PR_NOME"": ""REFRIGERANTE OUTROS"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""178"", ""PR_CAT"": ""HIGIENE"", ""PR_NOME"": ""LENCO UMEDECIDO"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""4"", ""PR_CAT"": ""ALIMENTOS"", ""PR_NOME"": ""ABACAXI"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""175"", ""PR_CAT"": ""LIMPEZA"", ""PR_NOME"": ""LIMPADOR MULTIUSO"", """": """"}]"
cl_id,int64,0,1000,534,"[{""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""67"", ""PR_CAT"": ""BEBIDAS"", ""PR_NOME"": ""REFRIGERANTE GUARANA"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""70"", ""PR_CAT"": ""BEBIDAS"", ""PR_NOME"": ""REFRIGERANTE OUTROS"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""178"", ""PR_CAT"": ""HIGIENE"", ""PR_NOME"": ""LENCO UMEDECIDO"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""4"", ""PR_CAT"": ""ALIMENTOS"", ""PR_NOME"": ""ABACAXI"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""175"", ""PR_CAT"": ""LIMPEZA"", ""PR_NOME"": ""LIMPADOR MULTIUSO"", """": """"}]"
cl_genero,object,0,2,M,"[{""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""67"", ""PR_CAT"": ""BEBIDAS"", ""PR_NOME"": ""REFRIGERANTE GUARANA"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""70"", ""PR_CAT"": ""BEBIDAS"", ""PR_NOME"": ""REFRIGERANTE OUTROS"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""178"", ""PR_CAT"": ""HIGIENE"", ""PR_NOME"": ""LENCO UMEDECIDO"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""4"", ""PR_CAT"": ""ALIMENTOS"", ""PR_NOME"": ""ABACAXI"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""175"", ""PR_CAT"": ""LIMPEZA"", ""PR_NOME"": ""LIMPADOR MULTIUSO"", """": """"}]"
cl_ec,int64,0,5,4,"[{""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""67"", ""PR_CAT"": ""BEBIDAS"", ""PR_NOME"": ""REFRIGERANTE GUARANA"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""70"", ""PR_CAT"": ""BEBIDAS"", ""PR_NOME"": ""REFRIGERANTE OUTROS"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""178"", ""PR_CAT"": ""HIGIENE"", ""PR_NOME"": ""LENCO UMEDECIDO"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""4"", ""PR_CAT"": ""ALIMENTOS"", ""PR_NOME"": ""ABACAXI"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""175"", ""PR_CAT"": ""LIMPEZA"", ""PR_NOME"": ""LIMPADOR MULTIUSO"", """": """"}]"
cl_fhl,int64,0,5,1,"[{""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""67"", ""PR_CAT"": ""BEBIDAS"", ""PR_NOME"": ""REFRIGERANTE GUARANA"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""70"", ""PR_CAT"": ""BEBIDAS"", ""PR_NOME"": ""REFRIGERANTE OUTROS"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""178"", ""PR_CAT"": ""HIGIENE"", ""PR_NOME"": ""LENCO UMEDECIDO"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""4"", ""PR_CAT"": ""ALIMENTOS"", ""PR_NOME"": ""ABACAXI"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""175"", ""PR_CAT"": ""LIMPEZA"", ""PR_NOME"": ""LIMPADOR MULTIUSO"", """": """"}]"
cl_seg,object,0,3,C,"[{""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""67"", ""PR_CAT"": ""BEBIDAS"", ""PR_NOME"": ""REFRIGERANTE GUARANA"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""70"", ""PR_CAT"": ""BEBIDAS"", ""PR_NOME"": ""REFRIGERANTE OUTROS"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""178"", ""PR_CAT"": ""HIGIENE"", ""PR_NOME"": ""LENCO UMEDECIDO"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""4"", ""PR_CAT"": ""ALIMENTOS"", ""PR_NOME"": ""ABACAXI"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""175"", ""PR_CAT"": ""LIMPEZA"", ""PR_NOME"": ""LIMPADOR MULTIUSO"", """": """"}]"
pr_id,int64,0,229,67,"[{""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""67"", ""PR_CAT"": ""BEBIDAS"", ""PR_NOME"": ""REFRIGERANTE GUARANA"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""70"", ""PR_CAT"": ""BEBIDAS"", ""PR_NOME"": ""REFRIGERANTE OUTROS"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""178"", ""PR_CAT"": ""HIGIENE"", ""PR_NOME"": ""LENCO UMEDECIDO"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""4"", ""PR_CAT"": ""ALIMENTOS"", ""PR_NOME"": ""ABACAXI"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""175"", ""PR_CAT"": ""LIMPEZA"", ""PR_NOME"": ""LIMPADOR MULTIUSO"", """": """"}]"
pr_cat,object,0,7,BEBIDAS,"[{""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""67"", ""PR_CAT"": ""BEBIDAS"", ""PR_NOME"": ""REFRIGERANTE GUARANA"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""70"", ""PR_CAT"": ""BEBIDAS"", ""PR_NOME"": ""REFRIGERANTE OUTROS"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""178"", ""PR_CAT"": ""HIGIENE"", ""PR_NOME"": ""LENCO UMEDECIDO"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""4"", ""PR_CAT"": ""ALIMENTOS"", ""PR_NOME"": ""ABACAXI"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""175"", ""PR_CAT"": ""LIMPEZA"", ""PR_NOME"": ""LIMPADOR MULTIUSO"", """": """"}]"
pr_nome,object,3228,117,REFRIGERANTE GUARANA,"[{""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""67"", ""PR_CAT"": ""BEBIDAS"", ""PR_NOME"": ""REFRIGERANTE GUARANA"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""70"", ""PR_CAT"": ""BEBIDAS"", ""PR_NOME"": ""REFRIGERANTE OUTROS"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""178"", ""PR_CAT"": ""HIGIENE"", ""PR_NOME"": ""LENCO UMEDECIDO"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""4"", ""PR_CAT"": ""ALIMENTOS"", ""PR_NOME"": ""ABACAXI"", """": """"}, {""DATA"": ""01/02/2019"", ""CO_ID"": ""1000"", ""CL_ID"": ""534"", ""CL_GENERO"": ""M"", ""CL_EC"": ""4"", ""CL_FHL"": ""1"", ""CL_SEG"": ""C"", ""PR_ID"": ""175"", ""PR_CAT"": ""LIMPEZA"", ""PR_NOME"": ""LIMPADOR MULTIUSO"", """": """"}]"
